headline,url,author,pubdate
2016 Year in pictures: The Malheur standoff,http://registerguard.com/rg/photo/35114109-321/2016-year-in-pictures-the-malheur-standoff.html.csp,Photo Staff,2016-12-22 07:34:02
2016 Year in Pictures: U.S. Olympic Trials,http://registerguard.com/rg/photo/35108889-321/2016-year-in-pictures-u.s.-olympic-trials.csp,Photo Staff,2016-12-20 18:05:01
2016 Year in pictures: Flora and fauna,http://registerguard.com/rg/photo/35106597-321/2016-year-in-pictures-flora-and-fauna.html.csp,Photo Staff,2016-12-19 21:20:02
Oregon Duck men over UNLV Rebels,http://registerguard.com/rg/sports/basketball/35101298-61/oregon-duck-men-over-unlv-rebels.html.csp,Chris Pietsch,2016-12-17 23:07:02
Oregon women’s basketball over PSU,http://registerguard.com/rg/sports/basketball/35101291-61/oregon-womens-basketball-over-psu.html.csp,Chris Pietsch,2016-12-17 23:02:01
Fire & ice: Remembering 2016 storm,http://registerguard.com/rg/photo/35092931-321/fire--ice-remembering-2016-storm.html.csp,The Register-Guard,2016-12-15 09:33:01
Ice and snow,http://registerguard.com/rg/photo/35071358-321/ice-and-snow.html.csp,Photo Staff,2016-12-08 15:07:02
Oregon Ducks basketball beats Savannah State by 69 points,http://registerguard.com/rg/photo/35055038-321/oregon-ducks-basketball-beats-savannah-state-by-69-points.html.csp,Collin Andrew,2016-12-03 20:14:01
Home for the Holidays,http://registerguard.com/rg/photo/35050263-321/home-for-the-holidays.html.csp,Photo Staff,2016-12-02 12:36:01
2016 Civil War: Oregon Ducks take on Oregon State Beavers,http://registerguard.com/rg/photo/35027128-321/2016-civil-war-oregon-ducks-take-on-oregon-state-beavers.html.csp,Andy Nelson,2016-11-29 10:12:01
North Bend wins title,http://registerguard.com/rg/photo/35032097-321/north-bend-wins-title.html.csp,Collin Andrew,2016-11-26 23:27:01
Harrisburg ends 50-year title drought,http://registerguard.com/rg/photo/35032080-321/harrisburg-ends-50-year-title-drought.html.csp,Collin Andrew,2016-11-26 23:23:01
Bulldogs keep Rangers at bay,http://registerguard.com/rg/photo/35010241-321/bulldogs-keep-rangers-at-bay.html.csp,Collin Andrew,2016-11-20 09:16:01
Oregon Ducks defeat No. 11 Utah,http://registerguard.com/rg/photo/35003208-321/oregon-ducks-defeat-no.-11-utah.csp,Andy Nelson,2016-11-19 21:34:01
Irish’s luck runs out,http://registerguard.com/rg/photo/35006553-321/irishs-luck-runs-out.html.csp,Collin Andrew,2016-11-19 09:31:02
