headline,url,author,pubdate
20 Under 40 Awards presentation,http://registerguard.com/rg/video/35067468-319/20-under-40-awards-presentation.html.csp,Kelly Lyon,2016-12-07 14:21:01
Act of Humanity,http://registerguard.com/rg/video/35059252-319/act-of-humanity.html.csp,Kelly Lyon,2016-12-05 07:23:33
Crunchy munchies,http://registerguard.com/rg/video/35056218-319/crunchy-munchies.html.csp,Kelly Lyon,2016-12-04 09:41:02
"""Poor trajectory"" and sad goodbyes",http://registerguard.com/rg/video/35042879-319/poor-trajectory-and-sad-goodbyes.html.csp,Chris Pietsch,2016-11-30 13:24:01
AD Rob Mullens fires Helfrich,http://registerguard.com/rg/video/35041116-319/ad-rob-mullens-fires-helfrich.html.csp,Chris Pietsch,2016-11-29 21:20:02
Vida Cafe reopens,http://registerguard.com/rg/video/35032503-319/vida-cafe-reopens.html.csp,Kelly Lyon,2016-11-27 08:56:01
Civil War Press Box,http://registerguard.com/rg/video/35031490-319/civil-war-press-box.html.csp,Chris Pietsch,2016-11-26 20:02:01
Whiteaker steps up for dinner,http://registerguard.com/rg/video/35022106-319/whiteaker-steps-up-for-dinner.html.csp,Kelly Lyon,2016-11-23 18:13:01
Spice it up with herbs,http://registerguard.com/rg/video/35020361-319/spice-it-up-with-herbs.html.csp,Kelly Lyon,2016-11-23 08:17:22
Man with gun draws police to northeast Eugene home,http://registerguard.com/rg/video/35017983-319/man-with-gun-draws-police-to-northeast-eugene-home.html.csp,Chris Pietsch,2016-11-22 15:36:01
Post-game Press Box recap of Oregon’s big win over Utah,http://registerguard.com/rg/video/35008448-319/post-game-press-box-recap-of-oregons-big-win-over-utah.html.csp,Andy Nelson,2016-11-19 18:26:02
